name	fluor	anti	replicate	aliases
cPARP				cPARP, Cleaved_PARP_(D214), CleavedPARP_(D214), Cleaved PARP_(D214)
c_MET				c_MET
gH2ax				gH2ax
mTOR				mTOR
mTOR_pS2448				pmTOR(S2448)
pATM				pATM
pCHK1				pCHK1
pErk				pErk
pGSK3b				pGSK3b
pMAPK				pMAPK
pMEK				pMEK
pRB				pRB
pS6RP				pS6RP
pTyr				pTyr
p_Tyrosine				p_Tyrosine
pbRAF				pbRAF
